Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),date
2023-01-12 00:00:00,92.88,170.19,4.73,47.1,27.28,11.19,0.33,0.7,34.78,0.0,0.0,,,,0.01,13.86,90.52,0.4,110.16,0.0,0.0,11.56,889.35,,2023-01-12 00:00:00
2023-01-12 08:00:00,49.55,230.86,4.73,22.99,14.46,12.61,1.52,0.75,35.01,0.0,0.0,,,,,26.54,30.53,0.89,42.2,0.0,0.0,439.4,913.09,,2023-01-12 08:00:00
2023-01-12 16:00:00,79.27,374.82,4.73,30.18,18.29,11.45,0.78,1.04,32.33,0.0,0.0,,,,,21.75,41.07,0.52,111.08,0.0,0.0,27.45,903.2,,2023-01-12 16:00:00
2023-01-13 00:00:00,97.38,194.91,4.73,41.35,24.23,11.48,0.53,0.63,31.38,0.0,0.0,,,,,14.16,89.16,0.45,97.88,0.0,0.0,11.2,889.86,,2023-01-13 00:00:00
2023-01-13 08:00:00,70.19,148.08,4.73,26.06,16.09,12.83,3.02,0.8,31.5,0.0,0.0,,,,,26.64,32.6,0.66,141.07,0.0,0.0,398.27,913.39,,2023-01-13 08:00:00
2023-01-13 16:00:00,73.77,189.54,4.73,21.22,13.52,12.34,1.41,0.79,31.08,0.0,0.0,,,0.01,,22.08,47.4,0.67,115.17,0.0,0.0,23.27,903.36,,2023-01-13 16:00:00
2023-01-14 00:00:00,92.13,108.03,4.73,25.82,15.96,12.71,0.86,0.26,30.8,0.0,0.0,,,0.01,,15.52,86.91,0.47,138.72,0.0,0.0,8.68,892.04,,2023-01-14 00:00:00
2023-01-14 08:00:00,68.6,149.21,4.73,24.55,15.29,12.87,3.01,0.57,30.04,0.0,0.0,,,0.01,0.01,25.4,36.2,1.0,83.94,0.0,0.0,417.77,911.4,,2023-01-14 08:00:00
2023-01-14 16:00:00,79.72,196.35,4.74,56.37,32.22,10.01,2.17,1.22,31.36,0.0,0.0,,,0.01,,20.98,43.4,0.6,78.09,0.0,0.0,29.84,902.0,,2023-01-14 16:00:00
2023-01-15 00:00:00,111.78,134.68,4.73,28.3,17.29,12.63,0.39,0.62,32.43,0.0,0.0,,,,,13.78,89.12,0.4,119.03,0.0,0.0,11.91,889.02,,2023-01-15 00:00:00
2023-01-15 08:00:00,54.98,130.18,4.73,24.08,10.67,13.27,2.86,0.65,31.33,0.0,0.0,,,0.01,0.01,26.66,28.76,0.94,79.29,0.0,0.0,429.07,913.7,,2023-01-15 08:00:00
2023-01-15 16:00:00,56.41,94.52,4.73,5.92,5.05,12.74,1.29,0.68,30.93,0.0,0.0,,,0.01,0.01,22.1,43.55,0.66,105.95,0.0,0.0,27.29,903.51,,2023-01-15 16:00:00
2023-01-16 00:00:00,86.45,145.71,4.73,19.3,12.5,13.0,0.69,0.4,30.55,0.0,0.0,,,,0.01,15.15,84.55,0.59,106.02,0.0,0.0,11.48,891.64,,2023-01-16 00:00:00
2023-01-16 08:00:00,56.67,200.83,4.73,21.06,13.43,13.11,3.28,0.77,30.78,0.0,0.0,,,0.01,0.01,26.85,32.71,0.69,114.02,0.0,0.0,409.62,913.87,,2023-01-16 08:00:00
2023-01-16 16:00:00,64.45,201.77,4.73,20.27,13.01,12.18,1.76,0.83,30.19,0.0,0.0,,,0.01,,23.55,37.68,0.93,82.98,0.0,0.0,28.47,906.02,,2023-01-16 16:00:00
2023-01-17 00:00:00,67.24,86.08,4.73,17.01,11.28,13.3,1.31,0.36,31.02,0.0,0.0,,,0.01,,15.73,81.9,0.51,117.66,0.0,0.0,10.8,892.29,,2023-01-17 00:00:00
2023-01-17 08:00:00,46.35,100.74,4.73,21.57,13.7,12.58,3.21,0.83,31.44,0.0,0.0,,,0.01,0.01,26.37,30.76,0.89,77.34,0.0,0.0,430.36,913.23,,2023-01-17 08:00:00
2023-01-17 16:00:00,42.29,75.89,4.73,14.42,9.9,12.56,2.5,0.65,31.56,0.0,0.0,,,0.01,,23.25,40.75,1.05,98.63,0.0,0.0,28.28,905.46,,2023-01-17 16:00:00
2023-01-18 00:00:00,52.03,64.85,4.73,14.19,9.78,13.18,0.66,0.16,31.41,0.0,0.0,,,0.01,0.01,16.05,85.5,0.66,89.53,0.0,0.0,10.48,892.9,,2023-01-18 00:00:00
2023-01-18 08:00:00,29.34,110.49,4.73,17.6,11.59,12.72,1.5,0.49,31.42,0.0,0.0,,,,,24.27,46.75,1.1,68.31,0.0,0.0,436.76,909.59,,2023-01-18 08:00:00
2023-01-18 16:00:00,50.54,,4.73,17.06,11.31,12.54,2.33,0.57,31.15,0.0,0.0,,,0.01,0.01,22.91,45.03,1.01,87.13,0.0,0.0,29.52,904.97,,2023-01-18 16:00:00
2023-01-19 00:00:00,94.69,,4.73,10.02,7.56,13.87,1.13,0.27,31.36,0.0,0.0,,,0.01,0.01,16.91,82.19,0.96,70.38,0.0,0.0,10.72,894.5,,2023-01-19 00:00:00
2023-01-19 08:00:00,39.2,,4.73,14.74,10.07,12.45,2.84,0.76,30.67,0.0,0.0,,,0.01,0.01,25.32,32.63,1.08,48.26,0.0,0.0,439.38,911.16,,2023-01-19 08:00:00
2023-01-19 16:00:00,59.01,,4.73,14.93,10.17,12.48,2.74,0.68,31.99,0.0,0.0,,,0.02,0.01,22.83,44.38,1.06,79.86,0.0,0.0,29.2,904.99,,2023-01-19 16:00:00
2023-01-20 00:00:00,98.77,,4.73,11.05,8.11,13.28,1.42,0.4,31.07,0.0,0.0,,,0.01,,16.28,83.18,0.74,120.41,0.0,0.0,10.0,893.38,,2023-01-20 00:00:00
2023-01-20 08:00:00,46.0,128.86,4.73,10.37,7.74,12.99,1.61,0.41,30.84,0.0,0.0,,,0.01,,23.81,52.28,1.18,93.26,0.0,0.0,396.91,909.21,,2023-01-20 08:00:00
2023-01-20 16:00:00,79.22,56.87,4.73,13.17,9.23,13.09,0.91,0.47,32.39,0.0,0.0,,,0.01,0.01,22.48,61.16,1.04,96.13,0.0,0.0,27.93,904.26,,2023-01-20 16:00:00
2023-01-21 00:00:00,74.81,77.72,4.73,8.0,6.48,14.15,0.42,0.28,33.11,0.0,0.0,,,,0.01,18.32,83.74,0.96,80.17,0.0,0.0,9.49,895.94,,2023-01-21 00:00:00
2023-01-21 08:00:00,26.7,90.26,4.73,7.72,6.34,12.98,0.91,0.44,31.77,0.0,0.0,,,,0.01,23.76,55.26,1.16,60.72,0.0,0.0,339.87,908.83,,2023-01-21 08:00:00
2023-01-21 16:00:00,47.96,56.87,4.73,18.07,11.84,12.32,0.79,0.75,32.68,0.0,0.0,,,0.01,0.01,22.63,54.44,0.94,86.15,0.0,0.0,29.05,904.43,,2023-01-21 16:00:00
2023-01-22 00:00:00,,,4.73,8.15,6.56,13.98,1.39,0.37,33.47,0.0,0.0,,,0.01,0.01,17.77,80.35,0.95,70.35,0.0,0.0,10.51,895.66,,2023-01-22 00:00:00
2023-01-22 08:00:00,22.53,61.55,4.73,5.78,5.3,13.03,1.7,0.48,33.08,0.0,0.0,,,0.01,0.01,24.44,47.79,1.38,67.79,0.0,0.0,419.47,909.76,,2023-01-22 08:00:00
2023-01-22 16:00:00,47.92,58.68,4.73,7.81,6.38,12.94,1.39,0.65,32.66,0.0,0.0,,,0.01,,22.73,47.55,1.2,91.52,0.0,0.0,29.28,904.88,,2023-01-22 16:00:00
2023-01-23 00:00:00,,,4.73,8.75,6.88,13.56,0.5,0.38,32.66,0.0,0.0,,,,,17.96,77.78,1.13,65.35,0.0,0.0,10.23,896.54,,2023-01-23 00:00:00
2023-01-23 08:00:00,52.54,57.88,4.73,10.17,7.64,12.69,1.29,0.38,32.94,0.0,0.0,,,0.01,,22.82,62.79,1.31,78.5,0.0,0.0,320.69,906.86,,2023-01-23 08:00:00
2023-01-23 16:00:00,48.4,57.84,4.73,15.65,10.55,12.21,0.41,0.5,32.83,0.0,0.0,,,0.01,0.01,22.14,67.26,1.02,78.22,0.0,0.0,24.84,903.2,,2023-01-23 16:00:00
2023-01-24 00:00:00,28.01,57.73,4.73,8.1,6.54,13.36,0.56,0.22,33.29,0.0,0.0,,,0.01,0.01,19.79,81.79,1.09,85.68,0.0,0.0,7.11,898.73,,2023-01-24 00:00:00
2023-01-24 08:00:00,18.86,58.09,4.73,8.4,6.7,12.39,1.17,0.36,32.81,0.0,0.0,,,0.01,0.01,24.11,60.06,1.16,91.79,0.0,0.0,305.98,909.25,,2023-01-24 08:00:00
2023-01-24 16:00:00,51.73,61.5,4.73,17.97,11.79,11.78,1.32,0.52,33.25,0.0,0.0,,,,0.01,23.47,58.74,0.96,102.91,0.0,0.0,20.31,905.48,,2023-01-24 16:00:00
2023-01-25 00:00:00,55.65,62.23,4.73,6.65,5.77,13.17,1.31,0.27,32.83,0.0,0.0,,,0.01,0.01,18.22,81.32,1.02,78.01,0.0,0.0,11.79,896.95,,2023-01-25 00:00:00
2023-01-25 08:00:00,32.03,63.73,4.73,10.6,7.87,12.44,1.86,0.52,32.96,0.0,0.0,,,0.01,0.01,24.48,51.86,0.94,75.25,0.0,0.0,429.22,909.98,,2023-01-25 08:00:00
2023-01-25 16:00:00,45.84,69.87,4.73,14.4,9.89,12.38,2.56,0.68,32.86,0.0,0.0,,,0.01,0.01,23.43,45.57,1.09,99.17,0.0,0.0,30.59,905.86,,2023-01-25 16:00:00
2023-01-26 00:00:00,85.54,131.65,4.73,6.98,5.94,13.79,1.2,0.38,32.14,0.0,0.0,,,,0.01,17.7,80.44,0.94,79.41,0.0,0.0,10.57,895.9,,2023-01-26 00:00:00
2023-01-26 08:00:00,43.25,63.71,4.73,8.32,6.65,12.8,2.94,0.66,32.2,0.0,0.0,,,0.01,,25.16,41.51,0.98,84.54,0.0,0.0,476.86,911.06,,2023-01-26 08:00:00
2023-01-26 16:00:00,43.55,63.37,4.73,3.98,4.34,12.56,1.31,0.73,31.8,0.0,0.0,,,,,28.52,24.54,1.11,62.39,0.0,0.0,181.68,915.71,,2023-01-26 16:00:00
2023-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2023-01-27 00:00:00
2023-01-27 08:00:00,52.56,58.23,4.73,6.38,5.62,12.65,1.42,0.54,32.07,0.0,0.0,,,,,29.0,26.69,0.98,79.68,0.0,0.0,440.68,918.9,,2023-01-27 08:00:00
2023-01-27 16:00:00,63.32,58.24,4.73,14.94,10.17,12.4,1.34,0.64,30.55,0.0,0.0,,,0.01,0.01,23.69,42.71,0.96,87.66,0.0,0.0,31.92,906.29,,2023-01-27 16:00:00
2023-01-28 00:00:00,53.35,57.99,4.73,20.06,12.9,12.38,0.47,0.37,30.61,0.0,0.0,,,0.01,0.01,16.6,83.13,0.6,104.38,0.0,0.0,11.14,893.95,,2023-01-28 00:00:00
2023-01-28 08:00:00,21.08,58.24,4.73,11.62,8.41,12.41,2.27,0.63,29.94,0.0,0.0,,,0.01,0.01,26.0,26.85,1.35,64.33,0.0,0.0,489.6,912.19,,2023-01-28 08:00:00
2023-01-28 16:00:00,47.22,59.31,4.73,13.79,9.56,12.71,1.74,0.51,31.71,0.0,0.0,,,0.01,,23.64,46.39,1.16,84.81,0.0,0.0,31.54,906.67,,2023-01-28 16:00:00
2023-01-29 00:00:00,,,4.73,20.14,12.94,12.48,0.52,0.38,30.88,0.0,0.0,,,,0.01,16.57,79.93,0.62,98.96,0.0,0.0,11.15,893.88,,2023-01-29 00:00:00
2023-01-29 08:00:00,21.97,59.67,4.73,9.62,7.35,13.09,2.07,0.49,30.68,0.0,0.0,,,0.01,0.01,26.37,33.77,1.48,60.65,0.0,0.0,480.04,912.63,,2023-01-29 08:00:00
2023-01-29 16:00:00,60.38,117.74,4.73,8.79,6.9,13.01,1.29,0.35,30.38,0.0,0.0,,,0.01,0.01,24.23,50.64,1.25,97.47,0.0,0.0,32.84,907.71,,2023-01-29 16:00:00
2023-01-30 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2023-01-30 00:00:00
2023-01-30 08:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2023-01-30 08:00:00
2023-01-30 16:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2023-01-30 16:00:00
2023-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2023-01-31 00:00:00
2023-01-31 08:00:00,11.51,58.47,4.73,8.63,6.82,12.44,0.59,0.33,30.74,0.0,0.0,,,,0.01,27.89,35.34,1.62,47.2,0.0,0.0,450.91,912.11,,2023-01-31 08:00:00
2023-01-31 16:00:00,40.02,58.18,4.73,19.56,12.63,12.05,0.42,0.36,31.22,0.0,0.0,,,0.01,,24.13,47.48,1.08,55.07,0.0,0.0,28.06,906.09,,2023-01-31 16:00:00
2023-02-01 00:00:00,81.74,,4.73,14.29,9.83,11.71,0.36,0.04,31.08,0.0,0.0,,,,0.01,17.72,75.96,0.42,142.64,0.0,0.0,10.14,895.65,,2023-02-01 00:00:00
2023-02-01 08:00:00,38.76,73.25,4.73,14.16,9.76,13.2,2.16,0.22,32.62,0.0,0.0,,,,0.01,26.09,42.87,1.64,43.21,0.0,0.0,440.71,907.46,,2023-02-01 08:00:00
2023-02-01 16:00:00,43.7,66.78,4.73,16.63,11.08,12.95,1.34,0.29,31.41,0.0,0.0,,,,,24.39,51.91,1.49,42.73,0.0,0.0,28.41,905.48,,2023-02-01 16:00:00
2023-02-02 00:00:00,52.47,64.29,4.73,6.56,5.35,13.62,2.8,0.25,30.43,0.0,0.0,,,,,20.7,53.1,1.38,42.27,0.0,0.0,12.4,897.59,,2023-02-02 00:00:00
2023-02-02 08:00:00,34.0,59.42,4.73,9.37,7.21,12.82,7.6,0.46,30.83,0.0,0.0,,,0.01,,24.32,35.72,1.75,48.88,0.0,0.0,245.87,904.59,,2023-02-02 08:00:00
2023-02-02 16:00:00,48.94,58.83,4.73,13.48,9.4,13.18,3.65,0.33,31.51,0.0,0.0,,,0.01,,23.6,49.16,1.37,42.77,0.0,0.0,21.67,901.34,,2023-02-02 16:00:00
2023-02-03 00:00:00,50.55,59.2,4.73,12.22,8.73,13.31,1.73,0.39,29.99,0.0,0.0,,,0.01,0.01,19.39,60.65,0.8,58.62,0.0,0.0,11.72,896.09,,2023-02-03 00:00:00
2023-02-03 08:00:00,12.07,61.26,4.73,9.79,7.44,13.1,2.61,0.32,31.27,0.0,0.0,,,0.01,,24.67,50.89,1.24,67.55,0.0,0.0,244.79,904.3,,2023-02-03 08:00:00
2023-02-03 16:00:00,34.12,59.42,4.73,21.24,13.53,12.48,1.68,0.49,31.43,0.0,0.0,,,,0.01,24.04,58.5,0.82,80.85,0.0,0.0,16.15,901.25,,2023-02-03 16:00:00
2023-02-04 00:00:00,28.5,59.99,4.73,8.34,6.66,13.29,3.12,0.32,32.45,0.0,0.0,,,,,21.2,55.78,1.09,57.15,0.0,0.0,12.0,898.64,,2023-02-04 00:00:00
2023-02-04 08:00:00,26.81,63.03,4.73,10.11,7.61,13.27,3.69,0.57,31.44,0.0,0.0,,,,0.01,27.67,29.91,1.35,61.3,0.0,0.0,507.04,907.95,,2023-02-04 08:00:00
2023-02-04 16:00:00,32.0,59.46,4.73,12.32,8.78,9.53,2.69,0.45,31.27,0.0,0.0,,,0.01,0.01,25.5,42.77,0.98,80.09,0.0,0.0,32.92,902.82,,2023-02-04 16:00:00
2023-02-05 00:00:00,49.24,60.98,4.73,5.89,5.36,8.0,1.48,0.04,30.96,0.0,0.0,,,,,20.08,73.74,0.78,70.58,0.0,0.0,11.01,897.09,,2023-02-05 00:00:00
2023-02-05 08:00:00,14.54,63.4,4.73,5.89,5.36,8.0,5.28,0.35,31.56,0.0,0.0,,,,,28.76,24.9,1.31,61.22,0.0,0.0,526.24,910.46,,2023-02-05 08:00:00
2023-02-05 16:00:00,29.27,58.49,4.73,5.96,5.4,8.0,4.53,0.23,30.35,0.0,0.0,,,,,25.61,35.58,1.03,92.73,0.0,0.0,34.47,902.59,,2023-02-05 16:00:00
2023-02-06 00:00:00,45.55,57.54,4.73,5.58,5.2,8.0,2.33,0.19,30.12,0.0,0.0,,,0.01,,18.48,76.6,0.6,126.87,0.0,0.0,17.1,894.53,,2023-02-06 00:00:00
2023-02-06 08:00:00,29.71,58.38,4.73,5.58,5.2,8.0,6.05,0.51,30.93,0.0,0.0,,,,0.01,27.82,29.91,1.08,82.96,0.0,0.0,491.71,908.53,,2023-02-06 08:00:00
2023-02-06 16:00:00,21.03,58.2,4.73,5.62,5.22,8.0,3.47,1.54,32.05,0.0,0.0,,,0.01,0.01,22.98,44.61,0.49,99.27,0.0,0.0,33.84,898.54,,2023-02-06 16:00:00
2023-02-07 00:00:00,56.22,58.6,4.73,5.81,5.32,8.0,1.11,0.29,31.57,0.0,0.0,,,0.01,,18.61,72.54,0.66,118.19,0.0,0.0,12.48,895.13,,2023-02-07 00:00:00
2023-02-07 08:00:00,27.55,58.83,4.73,5.83,5.33,8.0,9.85,0.28,31.73,0.0,0.0,,,0.01,0.01,27.8,39.78,0.8,172.16,0.0,0.0,490.23,908.38,,2023-02-07 08:00:00
2023-02-07 16:00:00,49.63,59.0,4.73,5.88,5.36,8.0,3.68,1.56,31.12,0.0,0.0,,,0.01,0.01,24.34,49.7,0.44,108.63,0.0,0.0,31.47,899.3,,2023-02-07 16:00:00
2023-02-08 00:00:00,52.09,59.73,4.73,5.95,5.4,8.0,1.89,0.64,30.9,0.0,0.0,,,,,18.37,70.06,0.44,107.3,0.0,0.0,10.75,893.9,,2023-02-08 00:00:00
2023-02-08 08:00:00,30.96,64.95,4.73,5.97,5.4,8.0,4.97,0.61,30.88,0.0,0.0,,,0.01,0.01,28.22,39.23,1.08,82.64,0.0,0.0,461.61,908.91,,2023-02-08 08:00:00
2023-02-08 16:00:00,49.99,59.9,4.73,6.01,5.43,7.99,5.56,0.75,30.99,0.0,0.0,,,0.01,0.01,26.42,40.83,0.94,61.71,0.0,0.0,32.65,902.29,,2023-02-08 16:00:00
2023-02-09 00:00:00,27.77,61.38,4.73,6.01,5.43,8.0,3.32,0.43,30.78,0.0,0.0,,,0.01,,19.57,75.55,0.57,83.25,0.0,0.0,8.55,895.24,,2023-02-09 00:00:00
2023-02-09 08:00:00,11.68,62.44,4.73,6.03,5.44,7.99,4.97,0.63,31.32,0.0,0.0,,,,,27.82,35.62,1.35,71.15,0.0,0.0,495.68,907.76,,2023-02-09 08:00:00
2023-02-09 16:00:00,34.11,60.52,4.73,6.07,5.46,8.0,4.59,0.72,31.48,0.0,0.0,,,0.01,0.01,25.73,36.54,0.96,82.47,0.0,0.0,32.88,901.97,,2023-02-09 16:00:00
2023-02-10 00:00:00,49.57,59.92,4.73,5.6,5.21,8.0,2.99,0.51,32.19,0.0,0.0,,,0.01,0.01,19.21,66.49,0.55,116.38,0.0,0.0,10.91,894.87,,2023-02-10 00:00:00
2023-02-10 08:00:00,22.74,62.78,4.73,5.62,5.22,8.0,5.12,0.68,31.95,0.0,0.0,,,,,28.1,28.55,1.45,59.91,0.0,0.0,515.76,908.09,,2023-02-10 08:00:00
2023-02-10 16:00:00,29.05,59.5,4.73,5.64,5.23,8.0,3.25,1.03,30.69,0.0,0.0,,,0.01,0.01,25.15,31.07,0.87,78.67,0.0,0.0,32.1,901.79,,2023-02-10 16:00:00
2023-02-11 00:00:00,52.95,58.59,4.73,5.87,5.35,8.0,3.75,0.54,31.06,0.0,0.0,,,0.01,,18.39,69.28,0.57,99.18,0.0,0.0,8.27,893.87,,2023-02-11 00:00:00
2023-02-11 08:00:00,17.91,59.14,4.73,5.88,5.36,8.0,5.36,0.79,31.54,0.0,0.0,,,0.01,0.01,27.86,27.01,1.19,57.74,0.0,0.0,500.85,907.75,,2023-02-11 08:00:00
